"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/08/2024;0,00;"2,770 %";04/07/2024
19/11/2024;0,00;"2,750 %";04/07/2024
20/01/2025;0,00;"2,760 %";04/07/2024
17/11/2025;0,00;"2,900 %";04/07/2024
17/04/2028;0,00;"3,190 %";04/07/2024
16/06/2031;0,00;"3,400 %";04/07/2024
19/06/2034;0,00;"3,590 %";04/07/2024
14/03/2039;0,00;"3,830 %";04/07/2024
17/08/2043;0,00;"4,030 %";04/07/2024
16/02/2054;0,00;"4,650 %";04/07/2024
Total;0,00;;
