"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
09/11/2020;96,60;"1,496 %";19/10/2020
07/12/2020;41,78;"1,490 %";19/10/2020
02/01/2021;96,57;"1,500 %";19/10/2020
18/01/2021;66,77;"1,500 %";19/10/2020
15/03/2021;282,91;"1,514 %";19/10/2020
17/05/2021;20,41;"1,557 %";19/10/2020
14/06/2021;81,11;"1,600 %";19/10/2020
19/07/2021;349,91;"1,586 %";19/10/2020
13/09/2021;149,95;"1,622 %";19/10/2020
20/09/2021;141,21;"1,628 %";19/10/2020
18/10/2021;20,59;"1,641 %";19/10/2020
12/11/2021;143,24;"1,677 %";19/10/2020
17/10/2022;418,26;"1,851 %";13/10/2020
14/11/2022;100,06;"1,858 %";13/10/2020
16/10/2023;794,03;"1,935 %";13/10/2020
02/06/2025;45,05;"2,050 %";19/10/2020
20/10/2025;131,06;"2,082 %";19/10/2020
06/08/2029;44,47;"2,370 %";15/10/2020
18/07/2033;39,32;"2,632 %";16/10/2020
17/07/2034;270,73;"2,649 %";08/10/2020
19/02/2035;101,94;"2,686 %";08/10/2020
16/07/2035;169,40;"2,688 %";08/10/2020
16/08/2038;23,41;"2,770 %";15/10/2020
14/02/2050;85,84;"3,463 %";08/10/2020
Total;"3 714,62";;
