"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
03/04/2023;"1 107,00";"3,110 %";28/02/2023
10/04/2023;603,00;"3,140 %";28/02/2023
17/04/2023;"1 021,00";"3,120 %";28/02/2023
24/04/2023;502,00;"3,160 %";28/02/2023
01/05/2023;"1 000,00";"3,040 %";30/01/2023
07/08/2023;"7 270,00";"3,150 %";06/02/2023
20/05/2024;"1 139,00";"3,580 %";20/02/2023
14/07/2025;"1 249,00";"3,870 %";06/03/2023
17/04/2028;617,00;"4,090 %";20/02/2023
16/06/2031;-;"4,120 %";06/01/2023
20/06/2033;"1 923,00";"4,580 %";28/02/2023
16/04/2040;-;"4,630 %";06/01/2023
17/08/2043;237,00;"5,220 %";06/03/2023
20/02/2051;-;"5,120 %";06/01/2023
Total;"16 668,00";;
