"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
05/08/2023;-;"3,000 %";27/06/2023
07/08/2023;-;"3,020 %";27/06/2023
18/09/2023;-;"3,040 %";27/06/2023
16/10/2023;-;"2,980 %";23/06/2023
19/02/2024;-;"3,060 %";23/06/2023
16/09/2024;-;"3,290 %";23/06/2023
17/04/2028;-;"3,820 %";27/06/2023
17/06/2030;-;"3,930 %";23/06/2023
19/06/2034;-;"4,430 %";27/06/2023
14/03/2039;-;"4,770 %";27/06/2023
16/04/2040;-;"4,840 %";23/06/2023
20/02/2051;-;"5,350 %";23/06/2023
Total;0,00;;
