"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
06/06/2020;190,61;"2,100 %";21/04/2020
06/06/2020;157,34;"2,398 %";09/04/2020
17/08/2020;100,05;"2,150 %";21/04/2020
05/09/2020;71,42;"2,210 %";21/04/2020
14/11/2020;20,79;"2,238 %";21/04/2020
12/12/2020;27,09;"2,250 %";21/04/2020
17/05/2021;50,27;"2,285 %";22/04/2020
19/06/2023;29,26;"2,503 %";16/04/2020
15/04/2024;664,73;"2,522 %";16/04/2020
18/06/2029;42,09;"2,650 %";14/04/2020
03/05/2030;236,04;"2,805 %";20/04/2020
05/08/2030;428,52;"2,816 %";20/04/2020
18/07/2033;26,84;"2,872 %";21/04/2020
16/08/2038;25,83;"3,070 %";16/04/2020
16/04/2040;21,54;"3,202 %";17/04/2020
19/02/2046;10,52;"3,557 %";17/04/2020
14/02/2050;167,33;"3,800 %";13/04/2020
Total;"2 270,27";;
