"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
20/01/2025;-;"2,630 %";13/11/2024
14/04/2025;-;"2,630 %";13/11/2024
20/05/2025;-;"2,540 %";19/11/2024
17/11/2025;-;"2,680 %";13/11/2024
19/01/2026;-;"2,680 %";19/11/2024
17/04/2028;-;"2,830 %";13/11/2024
15/04/2030;-;"2,950 %";19/11/2024
19/06/2034;-;"3,210 %";13/11/2024
14/03/2039;-;"3,440 %";13/11/2024
17/08/2043;-;"3,740 %";13/11/2024
16/02/2054;-;"4,300 %";13/11/2024
Total;0,00;;
