"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
20/07/2020;32,92;"1,955 %";08/06/2020
17/08/2020;53,10;"1,950 %";08/06/2020
14/09/2020;132,54;"1,979 %";09/06/2020
17/10/2020;20,92;"2,000 %";09/06/2020
14/12/2020;300,00;"1,980 %";15/06/2020
14/06/2021;30,08;"2,155 %";08/06/2020
18/07/2022;50,19;"2,248 %";09/06/2020
14/04/2025;100,99;"2,409 %";09/06/2020
20/10/2025;"3 000,48";"2,394 %";15/06/2020
14/06/2027;42,79;"2,596 %";09/06/2020
16/04/2029;49,08;"2,779 %";09/06/2020
05/08/2030;85,25;"2,816 %";05/06/2020
18/07/2031;57,14;"2,861 %";05/06/2020
18/07/2033;46,91;"2,920 %";09/06/2020
16/07/2035;713,22;"2,940 %";15/06/2020
16/08/2038;40,39;"3,064 %";08/06/2020
14/02/2050;504,94;"3,709 %";09/06/2020
Total;"5 260,94";;
