"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
16/03/2026;0,00;"2,210 %";08/01/2026
18/05/2026;0,00;"2,270 %";08/01/2026
14/09/2026;0,00;"2,290 %";08/01/2026
15/03/2027;0,00;"2,410 %";08/01/2026
15/04/2030;0,00;"2,630 %";08/01/2026
14/04/2031;0,00;"2,670 %";08/01/2026
18/06/2035;0,00;"2,940 %";08/01/2026
18/07/2039;0,00;"3,250 %";08/01/2026
15/08/2044;0,00;"3,490 %";08/01/2026
19/04/2055;0,00;"3,890 %";08/01/2026
Total;0,00;;
