"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/01/2026;-;"2,180 %";12/11/2025
16/03/2026;-;"2,210 %";12/11/2025
18/05/2026;-;"2,070 %";17/11/2025
17/08/2026;-;"2,150 %";17/11/2025
15/03/2027;-;"2,280 %";12/11/2025
15/04/2030;-;"2,570 %";12/11/2025
14/04/2031;-;"2,650 %";17/11/2025
18/06/2035;-;"2,840 %";12/11/2025
18/07/2039;-;"3,120 %";12/11/2025
14/08/2045;-;"3,380 %";12/11/2025
19/04/2055;-;"3,840 %";12/11/2025
Total;0,00;;
