"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/01/2026;0,00;"2,200 %";15/12/2025
16/03/2026;0,00;"2,290 %";15/12/2025
14/09/2026;0,00;"2,300 %";15/12/2025
15/03/2027;0,00;"2,400 %";15/12/2025
15/04/2030;0,00;"2,640 %";15/12/2025
14/04/2031;0,00;"2,670 %";15/12/2025
18/06/2035;0,00;"2,940 %";15/12/2025
18/07/2039;0,00;"3,300 %";15/12/2025
14/08/2045;0,00;"3,470 %";15/12/2025
19/04/2055;0,00;"3,850 %";15/12/2025
Total;0,00;;
