"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
08/02/2021;40,12;"1,461 %";18/01/2021
15/03/2021;122,81;"1,461 %";12/01/2021
17/05/2021;169,23;"1,426 %";18/01/2021
19/07/2021;131,43;"1,470 %";18/01/2021
20/09/2021;387,53;"1,420 %";18/01/2021
18/10/2021;377,21;"1,489 %";18/01/2021
17/01/2022;50,22;"1,550 %";18/01/2021
05/02/2022;155,96;"1,592 %";18/01/2021
16/05/2022;710,31;"1,648 %";18/01/2021
18/07/2022;66,16;"1,696 %";18/01/2021
17/10/2022;51,88;"1,730 %";18/01/2021
03/04/2023;217,85;"1,814 %";18/01/2021
19/06/2023;26,00;"1,842 %";18/01/2021
20/04/2026;"1 001,82";"2,012 %";18/01/2021
19/06/2028;40,40;"2,227 %";18/01/2021
18/06/2029;22,00;"2,286 %";18/01/2021
18/07/2031;280,31;"2,414 %";31/12/2020
18/07/2033;68,40;"2,540 %";31/12/2020
14/07/2036;381,60;"2,714 %";18/01/2021
16/08/2038;25,59;"2,870 %";08/01/2021
20/02/2051;507,05;"3,374 %";04/01/2021
Total;"4 833,88";;
