"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/09/2022;50,71;"1,640 %";27/07/2022
19/09/2022;50,69;"1,630 %";20/07/2022
24/10/2022;100,00;"1,650 %";25/07/2022
20/03/2023;49,42;"1,800 %";27/07/2022
22/05/2023;30,10;"1,834 %";27/07/2022
05/08/2023;148,74;"1,900 %";27/07/2022
18/09/2023;34,78;"1,913 %";27/07/2022
15/07/2024;49,30;"2,034 %";27/07/2022
14/10/2024;72,11;"2,140 %";27/07/2022
19/10/2026;64,98;"2,176 %";27/07/2022
05/08/2030;627,50;"2,430 %";27/07/2022
17/07/2034;467,66;"2,754 %";13/07/2022
04/02/2036;68,42;"2,750 %";21/07/2022
16/08/2038;99,45;"2,843 %";27/07/2022
16/04/2040;71,59;"2,906 %";27/07/2022
14/02/2050;276,78;"3,277 %";12/07/2022
20/02/2051;97,02;"3,310 %";28/06/2022
Total;"2 359,25";;
