"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
16/03/2026;0,00;"2,260 %";09/02/2026
18/05/2026;0,00;"2,320 %";09/02/2026
14/09/2026;0,00;"2,360 %";09/02/2026
15/03/2027;0,00;"2,450 %";09/02/2026
15/04/2030;0,00;"2,850 %";09/02/2026
14/04/2031;0,00;"2,900 %";09/02/2026
18/06/2035;0,00;"3,110 %";09/02/2026
18/07/2039;0,00;"3,350 %";09/02/2026
14/08/2045;0,00;"3,580 %";09/02/2026
19/04/2055;0,00;"4,000 %";09/02/2026
Total;0,00;;
