"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/05/2025;-;"2,310 %";29/04/2025
02/06/2025;-;"2,270 %";29/04/2025
14/07/2025;-;"2,250 %";29/04/2025
15/09/2025;-;"2,250 %";29/04/2025
20/10/2025;-;"2,260 %";29/04/2025
20/04/2026;-;"2,290 %";29/04/2025
16/11/2026;-;"2,280 %";25/04/2025
15/10/2029;-;"2,520 %";25/04/2025
14/10/2030;-;"2,610 %";29/04/2025
18/06/2035;-;"2,900 %";29/04/2025
16/07/2040;-;"3,230 %";29/04/2025
14/08/2045;-;"3,510 %";29/04/2025
19/04/2055;-;"3,850 %";29/04/2025
Total;0,00;;
