"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/07/2021;22,66;"1,386 %";16/06/2021
13/09/2021;202,84;"1,396 %";29/06/2021
20/09/2021;51,04;"1,384 %";29/06/2021
18/10/2021;354,17;"1,399 %";29/06/2021
09/03/2022;170,22;"1,484 %";24/06/2021
18/04/2022;566,16;"1,506 %";29/06/2021
16/05/2022;707,99;"1,507 %";29/06/2021
18/07/2022;271,27;"1,561 %";24/06/2021
17/10/2022;258,16;"1,600 %";24/06/2021
15/05/2023;298,00;"1,672 %";24/06/2021
19/06/2023;865,29;"1,693 %";24/06/2021
05/08/2023;335,88;"1,698 %";24/06/2021
18/09/2023;300,16;"1,709 %";24/06/2021
16/10/2023;191,39;"1,740 %";24/06/2021
14/04/2025;30,84;"1,862 %";24/06/2021
19/10/2026;"1 656,93";"2,015 %";29/06/2021
16/04/2029;"1 427,95";"2,172 %";24/06/2021
06/08/2029;290,73;"2,196 %";24/06/2021
17/06/2030;40,09;"2,259 %";24/06/2021
16/06/2031;226,00;"2,326 %";29/06/2021
18/07/2031;111,58;"2,344 %";24/06/2021
18/07/2033;93,14;"2,446 %";24/06/2021
17/07/2034;114,13;"2,515 %";24/06/2021
16/08/2038;65,44;"2,689 %";24/06/2021
16/04/2040;130,92;"2,766 %";24/06/2021
19/02/2046;40,76;"3,037 %";23/06/2021
20/02/2051;104,55;"3,266 %";30/04/2021
Total;"8 928,29";;
