"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
07/12/2020;20,59;"1,530 %";09/11/2020
08/02/2021;225,80;"1,580 %";13/11/2020
15/02/2021;149,50;"1,537 %";13/11/2020
15/03/2021;61,23;"1,575 %";13/11/2020
05/04/2021;50,07;"1,630 %";13/11/2020
17/05/2021;234,98;"1,592 %";13/11/2020
09/03/2022;77,15;"1,870 %";13/11/2020
16/05/2022;76,30;"1,789 %";13/11/2020
18/07/2022;51,03;"1,821 %";13/11/2020
17/10/2022;69,41;"1,860 %";13/11/2020
14/11/2022;200,38;"1,862 %";10/11/2020
20/10/2025;"2 540,92";"2,173 %";16/11/2020
17/06/2030;87,65;"2,455 %";12/11/2020
05/08/2030;68,68;"2,437 %";12/11/2020
18/07/2031;116,47;"2,509 %";02/11/2020
18/07/2033;55,56;"2,652 %";02/11/2020
16/07/2035;62,51;"2,850 %";13/11/2020
16/08/2038;290,13;"2,849 %";05/11/2020
19/02/2046;25,48;"3,218 %";02/11/2020
14/02/2050;79,14;"3,460 %";28/10/2020
Total;"4 542,98";;
