"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
14/11/2020;21,05;"1,500 %";02/11/2020
07/12/2020;144,11;"1,478 %";02/11/2020
25/01/2021;49,91;"1,510 %";04/11/2020
08/02/2021;"2 070,00";"1,514 %";09/11/2020
15/03/2021;40,10;"1,514 %";03/11/2020
13/09/2021;86,54;"1,650 %";04/11/2020
09/03/2022;30,72;"1,765 %";04/11/2020
14/11/2022;726,10;"1,879 %";09/11/2020
03/04/2023;23,35;"1,883 %";03/11/2020
20/10/2025;70,36;"2,078 %";03/11/2020
15/06/2026;32,56;"2,127 %";03/11/2020
19/06/2028;73,97;"2,278 %";02/11/2020
16/04/2029;42,17;"2,339 %";02/11/2020
18/07/2031;116,47;"2,509 %";02/11/2020
18/07/2033;55,56;"2,652 %";02/11/2020
31/03/2034;27,69;"2,703 %";02/11/2020
16/07/2035;49,17;"2,733 %";02/11/2020
16/08/2038;309,97;"2,784 %";28/10/2020
19/02/2046;25,48;"3,218 %";02/11/2020
14/02/2050;79,14;"3,460 %";28/10/2020
Total;"4 074,42";;
