"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
17/05/2021;105,84;"1,363 %";06/05/2021
19/07/2021;25,71;"1,363 %";05/05/2021
18/10/2021;20,49;"1,452 %";10/05/2021
17/01/2022;43,41;"1,499 %";07/05/2021
18/04/2022;61,39;"1,555 %";07/05/2021
18/07/2022;61,94;"1,590 %";10/05/2021
17/10/2022;74,80;"1,620 %";10/05/2021
14/11/2022;73,66;"1,627 %";10/05/2021
03/04/2023;130,04;"1,661 %";10/05/2021
19/06/2023;314,76;"1,690 %";10/05/2021
17/07/2023;227,29;"1,698 %";10/05/2021
16/10/2023;295,63;"1,719 %";10/05/2021
15/06/2026;110,56;"1,959 %";10/05/2021
14/06/2027;212,98;"2,036 %";10/05/2021
17/06/2030;321,34;"2,271 %";10/05/2021
18/07/2033;63,14;"2,482 %";06/05/2021
14/07/2036;40,00;"2,630 %";10/05/2021
16/04/2040;65,15;"2,774 %";07/05/2021
14/02/2050;57,78;"3,210 %";05/05/2021
20/02/2051;104,55;"3,266 %";30/04/2021
Total;"2 410,46";;
