"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
22/05/2023;-;"3,000 %";12/04/2023
17/07/2023;-;"3,050 %";12/04/2023
16/10/2023;-;"3,180 %";17/04/2023
19/02/2024;-;"3,450 %";12/04/2023
20/05/2024;-;"3,640 %";17/04/2023
17/05/2027;-;"4,180 %";12/04/2023
17/04/2028;-;"4,250 %";17/04/2023
14/06/2032;-;"4,560 %";12/04/2023
14/07/2036;-;"4,940 %";12/04/2023
16/04/2040;-;"5,200 %";12/04/2023
20/02/2051;-;"5,630 %";12/04/2023
Total;0,00;;
