"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
18/07/2022;321,21;"1,659 %";16/06/2022
08/08/2022;97,84;"1,650 %";16/06/2022
15/08/2022;101,53;"1,615 %";16/06/2022
12/09/2022;50,00;"1,620 %";16/06/2022
19/09/2022;265,00;"1,633 %";15/06/2022
20/03/2023;55,59;"1,725 %";16/06/2022
03/04/2023;101,38;"1,727 %";16/06/2022
22/05/2023;140,31;"1,747 %";16/06/2022
17/07/2023;341,88;"1,794 %";16/06/2022
05/08/2023;322,71;"1,809 %";16/06/2022
11/09/2023;49,99;"1,830 %";16/06/2022
18/09/2023;83,05;"1,867 %";16/06/2022
18/03/2024;451,35;"1,957 %";16/06/2022
15/04/2024;91,85;"1,964 %";16/06/2022
15/07/2024;199,76;"2,010 %";16/06/2022
16/09/2024;238,77;"2,014 %";16/06/2022
20/04/2026;89,86;"2,179 %";16/06/2022
15/06/2026;314,80;"2,200 %";16/06/2022
19/10/2026;243,42;"2,233 %";16/06/2022
18/10/2027;74,07;"2,296 %";16/06/2022
16/04/2029;47,15;"2,397 %";16/06/2022
05/08/2030;47,22;"2,361 %";16/06/2022
18/07/2031;130,12;"2,448 %";16/06/2022
14/06/2032;160,04;"2,489 %";16/06/2022
18/07/2033;114,38;"2,548 %";16/06/2022
17/07/2034;281,35;"2,590 %";16/06/2022
16/07/2035;198,69;"2,654 %";16/06/2022
14/07/2036;85,75;"2,722 %";16/06/2022
16/04/2040;74,00;"2,876 %";16/06/2022
14/02/2050;78,95;"3,188 %";16/06/2022
20/02/2051;145,47;"3,221 %";16/06/2022
Total;"4 997,49";;
