"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
17/06/2024;-;"2,960 %";30/04/2024
15/07/2024;-;"3,020 %";30/04/2024
19/08/2024;-;"3,040 %";26/04/2024
14/04/2025;-;"3,140 %";30/04/2024
02/06/2025;-;"3,190 %";30/04/2024
17/04/2028;-;"3,360 %";26/04/2024
16/06/2031;-;"3,540 %";26/04/2024
18/09/2034;-;"3,760 %";30/04/2024
18/07/2039;-;"4,030 %";30/04/2024
17/08/2043;-;"4,170 %";26/04/2024
16/02/2054;-;"4,870 %";30/04/2024
Total;0,00;;
