"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
16/03/2026;0,00;"2,210 %";05/01/2026
18/05/2026;0,00;"2,230 %";05/01/2026
14/09/2026;0,00;"2,250 %";05/01/2026
15/03/2027;0,00;"2,380 %";05/01/2026
15/04/2030;0,00;"2,580 %";05/01/2026
14/04/2031;0,00;"2,650 %";05/01/2026
18/06/2035;0,00;"2,940 %";05/01/2026
18/07/2039;0,00;"3,210 %";05/01/2026
14/08/2045;0,00;"3,490 %";05/01/2026
19/04/2055;0,00;"3,890 %";05/01/2026
Total;0,00;;
