"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
16/10/2023;-;"2,950 %";05/09/2023
20/11/2023;-;"2,970 %";05/09/2023
15/01/2024;-;"3,020 %";01/09/2023
18/03/2024;-;"3,080 %";01/09/2023
16/09/2024;-;"3,310 %";01/09/2023
17/05/2027;-;"3,670 %";01/09/2023
17/06/2030;-;"3,900 %";01/09/2023
14/06/2032;-;"4,070 %";01/09/2023
14/03/2039;-;"4,660 %";05/09/2023
17/08/2043;-;"4,950 %";05/09/2023
20/02/2051;-;"5,300 %";01/09/2023
Total;0,00;;
