"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
15/04/2024;-;"3,000 %";02/04/2024
17/06/2024;-;"2,990 %";02/04/2024
15/07/2024;-;"3,020 %";02/04/2024
19/11/2024;-;"3,070 %";29/03/2024
14/04/2025;-;"3,170 %";02/04/2024
17/04/2028;-;"3,340 %";29/03/2024
15/10/2029;-;"3,470 %";02/04/2024
18/09/2034;-;"3,770 %";02/04/2024
14/03/2039;-;"3,970 %";29/03/2024
17/08/2043;-;"4,170 %";29/03/2024
16/02/2054;-;"4,880 %";02/04/2024
Total;0,00;;
