"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
18/07/2022;24,21;"1,610 %";06/06/2022
29/08/2022;200,00;"1,610 %";03/06/2022
14/11/2022;194,21;"1,621 %";06/06/2022
05/12/2022;400,04;"1,670 %";06/06/2022
03/04/2023;853,55;"1,743 %";06/06/2022
15/05/2023;413,66;"1,743 %";06/06/2022
22/05/2023;510,86;"1,749 %";06/06/2022
19/06/2023;802,38;"1,814 %";06/06/2022
16/10/2023;307,47;"1,829 %";06/06/2022
20/11/2023;202,53;"1,871 %";06/06/2022
15/01/2024;455,33;"1,902 %";06/06/2022
18/03/2024;100,51;"1,937 %";06/06/2022
02/06/2025;194,39;"2,131 %";06/06/2022
20/10/2025;306,48;"2,195 %";06/06/2022
20/04/2026;612,60;"2,192 %";06/06/2022
15/06/2026;482,66;"2,133 %";06/06/2022
19/10/2026;163,39;"2,265 %";06/06/2022
17/05/2027;99,48;"2,349 %";06/06/2022
18/06/2029;107,70;"2,313 %";06/06/2022
06/08/2029;122,48;"2,320 %";06/06/2022
17/06/2030;252,07;"2,367 %";06/06/2022
16/06/2031;243,28;"2,421 %";06/06/2022
18/07/2031;21,71;"2,426 %";06/06/2022
18/07/2033;229,00;"2,526 %";02/06/2022
17/07/2034;249,30;"2,593 %";02/06/2022
04/02/2036;103,21;"2,663 %";06/06/2022
16/08/2038;23,64;"2,868 %";06/06/2022
16/04/2040;11,34;"2,875 %";06/06/2022
20/02/2051;69,25;"3,219 %";03/06/2022
Total;"7 756,73";;
