"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
28/02/2020;21,19;"2,330 %";17/02/2020
20/04/2020;21,94;"2,330 %";14/02/2020
25/05/2020;200,00;"2,200 %";24/02/2020
14/09/2020;30,34;"2,320 %";18/02/2020
19/04/2021;210,43;"2,366 %";18/02/2020
17/05/2021;100,08;"2,373 %";24/02/2020
12/11/2021;"1 709,71";"2,405 %";24/02/2020
18/04/2022;110,19;"2,381 %";17/02/2020
16/05/2022;154,83;"2,386 %";17/02/2020
17/10/2022;50,02;"2,403 %";17/02/2020
02/01/2026;257,18;"2,534 %";18/02/2020
16/04/2029;102,93;"2,622 %";17/02/2020
05/08/2030;297,74;"2,722 %";18/02/2020
16/07/2035;549,90;"2,961 %";17/02/2020
16/08/2038;25,95;"3,095 %";11/02/2020
14/02/2050;116,42;"3,797 %";17/02/2020
Total;"3 958,85";;
