"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/01/2026;0,00;"2,200 %";28/11/2025
16/03/2026;0,00;"2,280 %";28/11/2025
14/09/2026;0,00;"2,300 %";28/11/2025
15/03/2027;0,00;"2,420 %";28/11/2025
15/04/2030;0,00;"2,650 %";28/11/2025
20/06/2033;0,00;"2,910 %";28/11/2025
18/06/2035;0,00;"3,060 %";28/11/2025
16/07/2040;0,00;"3,300 %";28/11/2025
19/02/2046;0,00;"3,560 %";28/11/2025
19/04/2055;0,00;"3,840 %";28/11/2025
Total;0,00;;
