"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
12/09/2022;70,41;"1,591 %";21/07/2022
19/09/2022;50,69;"1,630 %";20/07/2022
14/11/2022;194,58;"1,663 %";21/07/2022
16/01/2023;350,07;"1,749 %";21/07/2022
20/03/2023;30,25;"1,796 %";21/07/2022
19/06/2023;101,12;"1,850 %";21/07/2022
17/07/2023;39,92;"1,888 %";21/07/2022
05/08/2023;379,60;"1,897 %";21/07/2022
18/09/2023;53,73;"1,826 %";21/07/2022
20/11/2023;86,19;"1,940 %";21/07/2022
15/01/2024;100,86;"2,040 %";21/07/2022
18/03/2024;362,51;"1,966 %";21/07/2022
15/07/2024;381,72;"2,022 %";21/07/2022
16/09/2024;294,66;"2,013 %";21/07/2022
03/10/2025;34,76;"2,300 %";21/07/2022
20/10/2025;57,69;"2,182 %";21/07/2022
15/06/2026;155,86;"2,158 %";21/07/2022
19/10/2026;202,89;"2,187 %";21/07/2022
17/05/2027;169,55;"2,355 %";21/07/2022
14/06/2027;47,12;"2,241 %";21/07/2022
18/06/2029;57,29;"2,369 %";21/07/2022
17/06/2030;51,12;"2,420 %";21/07/2022
16/06/2031;89,33;"2,421 %";21/07/2022
14/06/2032;135,71;"2,465 %";21/07/2022
17/07/2034;467,66;"2,754 %";13/07/2022
04/02/2036;68,42;"2,750 %";21/07/2022
16/08/2038;326,34;"2,841 %";20/07/2022
16/04/2040;180,76;"2,901 %";20/07/2022
14/02/2050;276,78;"3,277 %";12/07/2022
20/02/2051;97,02;"3,310 %";28/06/2022
Total;"4 914,61";;
