"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/01/2026;0,00;"2,220 %";31/12/2025
16/02/2026;0,00;"2,200 %";31/12/2025
20/04/2026;0,00;"2,260 %";31/12/2025
18/05/2026;0,00;"2,240 %";31/12/2025
15/06/2026;0,00;"2,240 %";31/12/2025
20/07/2026;0,00;"2,230 %";31/12/2025
14/09/2026;0,00;"2,260 %";31/12/2025
19/10/2026;0,00;"2,190 %";31/12/2025
15/03/2027;0,00;"2,370 %";26/12/2025
15/04/2030;0,00;"2,570 %";26/12/2025
14/04/2031;0,00;"2,620 %";26/12/2025
18/06/2035;0,00;"2,910 %";26/12/2025
18/07/2039;0,00;"3,210 %";26/12/2025
14/08/2045;0,00;"3,450 %";26/12/2025
19/04/2055;0,00;"3,830 %";26/12/2025
Total;0,00;;
