"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
16/03/2026;0,00;"2,260 %";29/01/2026
18/05/2026;0,00;"2,350 %";29/01/2026
14/09/2026;0,00;"2,380 %";29/01/2026
15/03/2027;0,00;"2,540 %";29/01/2026
15/04/2030;0,00;"2,880 %";29/01/2026
14/04/2031;0,00;"2,920 %";29/01/2026
18/06/2035;0,00;"3,110 %";29/01/2026
18/07/2039;0,00;"3,350 %";29/01/2026
14/08/2045;0,00;"3,550 %";29/01/2026
19/04/2055;0,00;"3,950 %";29/01/2026
Total;0,00;;
