"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
16/03/2026;0,00;"2,270 %";20/01/2026
18/05/2026;0,00;"2,320 %";20/01/2026
14/09/2026;0,00;"2,370 %";20/01/2026
15/03/2027;0,00;"2,520 %";20/01/2026
15/04/2030;0,00;"2,810 %";20/01/2026
14/04/2031;0,00;"2,840 %";20/01/2026
18/06/2035;0,00;"3,050 %";20/01/2026
18/07/2039;0,00;"3,310 %";20/01/2026
14/08/2045;0,00;"3,550 %";20/01/2026
19/04/2055;0,00;"3,950 %";20/01/2026
Total;0,00;;
