"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
18/07/2022;127,01;"1,715 %";30/06/2022
26/09/2022;24,01;"1,616 %";08/07/2022
17/10/2022;20,96;"1,660 %";08/07/2022
19/06/2023;103,93;"1,799 %";08/07/2022
16/10/2023;42,41;"1,872 %";08/07/2022
14/10/2024;25,11;"2,140 %";08/07/2022
20/10/2025;40,92;"2,209 %";08/07/2022
16/04/2029;42,46;"2,361 %";08/07/2022
06/08/2029;53,69;"2,372 %";08/07/2022
05/08/2030;40,41;"2,380 %";08/07/2022
17/07/2034;95,41;"2,755 %";07/07/2022
14/07/2036;64,84;"2,747 %";07/07/2022
16/04/2040;69,03;"2,894 %";07/07/2022
14/02/2050;51,56;"3,277 %";08/07/2022
20/02/2051;97,02;"3,310 %";28/06/2022
Total;898,77;;
