"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
11/09/2023;-;"2,970 %";05/07/2023
09/10/2023;-;"2,950 %";10/07/2023
19/02/2024;-;"3,130 %";05/07/2023
19/08/2024;-;"3,410 %";10/07/2023
16/09/2024;-;"3,360 %";05/07/2023
16/02/2026;-;"3,560 %";10/07/2023
17/05/2027;-;"3,700 %";05/07/2023
17/06/2030;-;"3,920 %";05/07/2023
14/06/2032;-;"4,110 %";05/07/2023
14/07/2036;-;"4,510 %";05/07/2023
16/04/2040;-;"4,800 %";05/07/2023
20/02/2051;-;"5,350 %";05/07/2023
Total;0,00;;
