"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
20/06/2022;40,75;"1,610 %";08/06/2022
29/08/2022;200,00;"1,610 %";03/06/2022
19/09/2022;30,36;"1,590 %";08/06/2022
17/10/2022;61,87;"1,638 %";08/06/2022
16/01/2023;90,78;"1,673 %";08/06/2022
18/03/2024;60,29;"1,960 %";08/06/2022
14/04/2025;101,53;"2,079 %";08/06/2022
19/10/2026;180,39;"2,204 %";08/06/2022
16/04/2029;789,24;"2,313 %";08/06/2022
17/06/2030;516,53;"2,372 %";08/06/2022
16/06/2031;658,92;"2,422 %";08/06/2022
18/07/2031;43,42;"2,426 %";08/06/2022
17/07/2034;202,41;"2,593 %";08/06/2022
04/02/2036;68,73;"2,675 %";08/06/2022
14/07/2036;64,95;"2,711 %";08/06/2022
16/08/2038;47,29;"2,869 %";08/06/2022
16/04/2040;22,69;"2,875 %";08/06/2022
20/02/2051;69,27;"3,220 %";08/06/2022
Total;"3 249,42";;
