"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
13/09/2021;79,31;"1,427 %";03/08/2021
18/10/2021;106,33;"1,427 %";20/07/2021
12/11/2021;50,96;"1,402 %";29/07/2021
17/01/2022;125,63;"1,454 %";29/07/2021
14/02/2022;111,52;"1,503 %";04/08/2021
16/05/2022;24,31;"1,520 %";04/08/2021
03/04/2023;94,70;"1,707 %";04/08/2021
15/05/2023;92,91;"1,726 %";04/08/2021
17/07/2023;100,42;"1,755 %";04/08/2021
18/09/2023;100,11;"1,773 %";04/08/2021
15/04/2024;110,95;"1,840 %";04/08/2021
15/06/2026;34,98;"2,012 %";02/08/2021
19/06/2028;80,77;"2,148 %";02/08/2021
16/04/2029;125,66;"2,180 %";02/08/2021
05/08/2030;540,40;"2,285 %";02/08/2021
16/06/2031;199,91;"2,350 %";02/08/2021
18/07/2031;80,78;"2,354 %";02/08/2021
31/03/2034;114,07;"2,489 %";03/08/2021
17/07/2034;113,96;"2,503 %";03/08/2021
16/07/2035;75,73;"2,551 %";29/07/2021
18/08/2036;33,02;"2,602 %";29/07/2021
04/12/2036;57,90;"2,619 %";29/07/2021
16/08/2038;168,87;"2,692 %";02/07/2021
19/02/2046;27,58;"3,033 %";29/07/2021
14/02/2050;34,89;"3,215 %";29/07/2021
20/02/2051;19,40;"3,262 %";28/07/2021
Total;"2 705,07";;
