"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/02/2024;-;"2,770 %";17/01/2024
22/04/2024;-;"2,830 %";22/01/2024
20/05/2024;-;"2,940 %";17/01/2024
19/11/2024;-;"3,080 %";17/01/2024
20/01/2025;-;"2,980 %";22/01/2024
17/11/2025;-;"3,200 %";17/01/2024
18/05/2026;-;"3,260 %";22/01/2024
17/04/2028;-;"3,360 %";17/01/2024
16/06/2031;-;"3,500 %";17/01/2024
19/06/2034;-;"3,700 %";17/01/2024
14/03/2039;-;"3,930 %";17/01/2024
17/08/2043;-;"4,390 %";17/01/2024
16/02/2054;-;"5,170 %";17/01/2024
Total;0,00;;
