"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
20/06/2022;50,85;"1,580 %";27/04/2022
18/07/2022;92,71;"1,598 %";29/04/2022
17/10/2022;40,75;"1,594 %";19/04/2022
20/03/2023;59,03;"1,644 %";29/04/2022
15/05/2023;181,67;"1,711 %";29/04/2022
17/07/2023;101,69;"1,770 %";29/04/2022
18/09/2023;154,71;"1,746 %";29/04/2022
16/10/2023;23,28;"1,746 %";29/04/2022
15/01/2024;152,85;"1,786 %";29/04/2022
18/03/2024;100,53;"1,817 %";29/04/2022
05/04/2024;162,69;"1,819 %";29/04/2022
15/04/2024;204,14;"1,822 %";29/04/2022
15/07/2024;334,69;"1,857 %";29/04/2022
14/04/2025;227,63;"1,935 %";29/04/2022
20/04/2026;30,00;"2,067 %";29/04/2022
19/10/2026;79,18;"2,144 %";29/04/2022
19/04/2027;94,40;"2,218 %";29/04/2022
18/10/2027;39,89;"2,232 %";29/04/2022
19/06/2028;31,29;"2,340 %";29/04/2022
18/06/2029;174,67;"2,281 %";29/04/2022
06/08/2029;166,04;"2,261 %";29/04/2022
17/06/2030;88,95;"2,334 %";29/04/2022
05/08/2030;69,15;"2,342 %";29/04/2022
16/06/2031;356,73;"2,481 %";29/04/2022
18/07/2033;163,08;"2,698 %";29/04/2022
17/07/2034;131,92;"2,562 %";29/04/2022
19/02/2035;26,80;"2,594 %";29/04/2022
16/07/2035;265,58;"2,614 %";29/04/2022
16/04/2040;42,60;"2,889 %";29/04/2022
14/02/2050;41,86;"3,267 %";29/04/2022
20/02/2051;367,16;"3,264 %";29/04/2022
Total;"4 056,52";;
