"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
17/11/2025;0,00;"2,150 %";03/09/2025
08/12/2025;0,00;"1,680 %";08/09/2025
16/03/2026;0,00;"2,220 %";03/09/2025
17/08/2026;0,00;"2,000 %";08/09/2025
15/03/2027;0,00;"2,220 %";03/09/2025
16/08/2027;0,00;"2,230 %";08/09/2025
15/04/2030;0,00;"2,380 %";03/09/2025
14/10/2030;0,00;"2,410 %";03/09/2025
18/06/2035;0,00;"2,720 %";03/09/2025
18/07/2039;0,00;"3,000 %";03/09/2025
14/08/2045;0,00;"3,290 %";03/09/2025
19/04/2055;0,00;"3,730 %";03/09/2025
Total;0,00;;
