"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
20/07/2020;153,19;"2,082 %";02/06/2020
17/08/2020;228,80;"2,083 %";02/06/2020
07/09/2020;500,00;"1,990 %";08/06/2020
05/09/2020;94,26;"2,047 %";02/06/2020
17/10/2020;216,90;"2,060 %";02/06/2020
14/11/2020;469,36;"2,088 %";02/06/2020
07/12/2020;37,73;"2,090 %";02/06/2020
12/12/2020;53,00;"2,093 %";02/06/2020
15/02/2021;122,78;"2,130 %";02/06/2020
19/04/2021;537,31;"2,173 %";02/06/2020
17/05/2021;82,71;"2,177 %";02/06/2020
14/06/2021;"1 002,62";"2,156 %";08/06/2020
19/07/2021;773,23;"2,212 %";02/06/2020
20/09/2021;106,37;"2,234 %";02/06/2020
18/10/2021;180,40;"2,233 %";02/06/2020
18/07/2022;"2 509,60";"2,246 %";08/06/2020
16/10/2023;89,16;"2,351 %";02/06/2020
14/04/2025;"3 075,73";"2,395 %";02/06/2020
05/06/2026;59,63;"2,497 %";02/06/2020
19/06/2028;73,38;"2,698 %";01/06/2020
16/04/2029;229,39;"2,780 %";01/06/2020
18/06/2029;65,44;"2,761 %";01/06/2020
05/08/2030;106,83;"2,815 %";02/06/2020
17/07/2034;238,14;"2,995 %";02/06/2020
16/08/2038;30,84;"3,067 %";07/05/2020
14/02/2050;575,84;"3,753 %";02/06/2020
Total;"11 612,64";;
