"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
16/05/2022;23,64;"1,580 %";11/04/2022
20/06/2022;40,64;"1,580 %";08/04/2022
18/07/2022;30,58;"1,581 %";13/04/2022
16/01/2023;706,59;"1,612 %";14/04/2022
20/03/2023;804,01;"1,632 %";14/04/2022
03/04/2023;202,34;"1,637 %";14/04/2022
15/05/2023;306,08;"1,676 %";14/04/2022
19/06/2023;44,05;"1,720 %";14/04/2022
18/09/2023;345,76;"1,731 %";14/04/2022
17/06/2024;97,52;"1,851 %";14/04/2022
15/07/2024;87,19;"1,860 %";14/04/2022
02/06/2025;55,44;"1,945 %";14/04/2022
20/04/2026;105,90;"2,055 %";14/04/2022
19/10/2026;128,45;"2,120 %";14/04/2022
17/05/2027;59,24;"2,189 %";14/04/2022
19/06/2028;21,79;"2,204 %";14/04/2022
18/06/2029;419,64;"2,275 %";14/04/2022
17/06/2030;102,53;"2,330 %";14/04/2022
16/06/2031;251,94;"2,405 %";14/04/2022
14/06/2032;50,06;"2,438 %";14/04/2022
18/07/2033;302,78;"2,512 %";14/04/2022
17/07/2034;127,26;"2,565 %";14/04/2022
16/07/2035;218,16;"2,612 %";14/04/2022
04/02/2036;42,58;"2,640 %";14/04/2022
14/07/2036;57,35;"2,658 %";14/04/2022
16/08/2038;107,36;"2,748 %";14/04/2022
06/02/2045;44,17;"3,063 %";14/04/2022
19/02/2046;44,06;"3,097 %";14/04/2022
14/02/2050;48,25;"3,217 %";14/04/2022
20/02/2051;36,39;"3,262 %";14/04/2022
Total;"4 911,75";;
