"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/11/2024;-;"2,670 %";09/10/2024
20/01/2025;-;"2,750 %";09/10/2024
14/04/2025;-;"2,580 %";14/10/2024
17/11/2025;-;"2,800 %";09/10/2024
17/04/2028;-;"2,890 %";09/10/2024
15/04/2030;-;"2,990 %";14/10/2024
16/06/2031;-;"3,060 %";09/10/2024
19/06/2034;-;"3,270 %";09/10/2024
16/07/2040;-;"3,590 %";14/10/2024
17/08/2043;-;"3,860 %";09/10/2024
16/02/2054;-;"4,350 %";09/10/2024
Total;0,00;;
