"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
14/04/2025;-;"2,490 %";16/01/2025
14/07/2025;-;"2,500 %";16/01/2025
21/07/2025;-;"2,500 %";16/01/2025
16/11/2026;-;"2,600 %";16/01/2025
15/10/2029;-;"2,780 %";16/01/2025
15/04/2030;-;"2,830 %";20/01/2025
18/06/2035;-;"3,200 %";16/01/2025
16/07/2040;-;"3,470 %";20/01/2025
14/08/2045;-;"3,760 %";16/01/2025
19/04/2055;-;"4,220 %";16/01/2025
14/04/2025;-;"2,490 %";16/01/2025
14/07/2025;-;"2,500 %";16/01/2025
21/07/2025;-;"2,500 %";16/01/2025
16/11/2026;-;"2,600 %";16/01/2025
15/10/2029;-;"2,780 %";16/01/2025
15/04/2030;-;"2,830 %";20/01/2025
18/06/2035;-;"3,200 %";16/01/2025
16/07/2040;-;"3,470 %";20/01/2025
14/08/2045;-;"3,760 %";16/01/2025
19/04/2055;-;"4,220 %";16/01/2025
Total;0,00;;
