"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
17/11/2025;0,00;"2,160 %";07/10/2025
19/01/2026;0,00;"2,200 %";07/10/2025
14/09/2026;0,00;"2,210 %";07/10/2025
15/03/2027;0,00;"2,260 %";07/10/2025
15/04/2030;0,00;"2,440 %";07/10/2025
14/10/2030;0,00;"2,480 %";07/10/2025
18/06/2035;0,00;"2,780 %";07/10/2025
18/07/2039;0,00;"3,050 %";07/10/2025
14/08/2045;0,00;"3,310 %";07/10/2025
19/04/2055;0,00;"3,740 %";07/10/2025
Total;0,00;;
