"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
17/07/2023;-;"3,020 %";17/05/2023
21/08/2023;-;"3,000 %";22/05/2023
11/09/2023;-;"3,040 %";17/05/2023
19/02/2024;-;"3,230 %";17/05/2023
19/08/2024;-;"3,570 %";22/05/2023
16/09/2024;-;"3,570 %";17/05/2023
17/11/2025;-;"3,910 %";22/05/2023
17/06/2030;-;"4,420 %";17/05/2023
14/06/2032;-;"4,590 %";17/05/2023
14/07/2036;-;"4,940 %";17/05/2023
16/04/2040;-;"5,190 %";17/05/2023
20/02/2051;-;"5,650 %";17/05/2023
Total;0,00;;
