"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
28/02/2022;80,25;"1,532 %";21/02/2022
16/05/2022;206,55;"1,532 %";25/02/2022
20/06/2022;119,48;"1,551 %";25/02/2022
18/07/2022;69,17;"1,548 %";25/02/2022
15/08/2022;63,46;"1,556 %";25/02/2022
17/10/2022;30,50;"1,575 %";25/02/2022
14/11/2022;65,65;"1,586 %";25/02/2022
16/01/2023;82,36;"1,611 %";25/02/2022
20/03/2023;118,67;"1,647 %";25/02/2022
03/04/2023;109,07;"1,633 %";25/02/2022
19/06/2023;22,97;"1,676 %";25/02/2022
18/09/2023;62,74;"1,712 %";25/02/2022
18/03/2024;109,90;"1,832 %";25/02/2022
15/04/2024;188,22;"1,836 %";25/02/2022
15/07/2024;99,98;"1,858 %";25/02/2022
15/06/2026;102,58;"2,029 %";25/02/2022
19/10/2026;128,93;"2,062 %";25/02/2022
19/04/2027;97,63;"2,101 %";25/02/2022
14/06/2027;240,99;"2,085 %";25/02/2022
16/04/2029;181,81;"2,213 %";25/02/2022
18/06/2029;429,14;"2,218 %";25/02/2022
06/08/2029;161,69;"2,245 %";25/02/2022
17/06/2030;394,39;"2,292 %";25/02/2022
16/06/2031;373,61;"2,367 %";25/02/2022
18/07/2033;296,03;"2,498 %";25/02/2022
16/07/2035;37,47;"2,615 %";25/02/2022
04/02/2036;20,74;"2,638 %";25/02/2022
04/12/2036;24,61;"2,673 %";25/02/2022
16/08/2038;31,83;"2,745 %";25/02/2022
16/04/2040;460,44;"2,798 %";25/02/2022
20/02/2051;36,85;"3,170 %";24/02/2022
Total;"4 447,71";;
