"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
16/10/2023;-;"2,690 %";10/10/2023
20/11/2023;-;"2,910 %";10/10/2023
15/01/2024;-;"2,920 %";10/10/2023
19/02/2024;-;"2,930 %";10/10/2023
15/04/2024;-;"3,000 %";10/10/2023
17/06/2024;-;"3,050 %";10/10/2023
18/08/2025;-;"3,390 %";06/10/2023
17/05/2027;-;"3,610 %";06/10/2023
17/06/2030;-;"3,870 %";06/10/2023
19/06/2034;-;"4,250 %";10/10/2023
19/07/2038;-;"4,500 %";06/10/2023
14/03/2039;-;"4,630 %";10/10/2023
17/08/2043;-;"4,900 %";10/10/2023
16/02/2054;-;"5,410 %";10/10/2023
Total;0,00;;
