"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
20/01/2020;29,80;"2,250 %";08/01/2020
03/03/2020;41,50;"2,260 %";08/01/2020
03/03/2020;41,50;"2,226 %";07/01/2020
18/05/2020;610,48;"2,310 %";16/01/2020
20/07/2020;305,68;"2,295 %";16/01/2020
12/12/2020;68,68;"2,300 %";16/01/2020
19/07/2021;61,84;"2,345 %";16/01/2020
18/10/2021;20,82;"2,344 %";16/01/2020
16/05/2022;171,28;"2,370 %";15/01/2020
03/04/2023;51,75;"2,375 %";15/01/2020
19/06/2023;51,58;"2,379 %";15/01/2020
05/08/2023;72,91;"2,381 %";15/01/2020
16/10/2023;66,51;"2,385 %";15/01/2020
17/06/2024;97,40;"2,395 %";16/01/2020
18/06/2029;163,75;"2,619 %";15/01/2020
17/06/2030;40,14;"2,663 %";13/01/2020
31/03/2034;27,58;"2,950 %";16/01/2020
17/07/2034;21,98;"2,880 %";16/01/2020
16/08/2038;122,17;"3,210 %";16/01/2020
14/02/2050;30,53;"3,900 %";09/01/2020
Total;"2 097,88";;
