"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
18/10/2021;207,00;"1,425 %";20/09/2021
29/11/2021;51,52;"1,470 %";17/09/2021
27/12/2021;200,00;"1,340 %";27/09/2021
17/01/2022;124,99;"1,469 %";21/09/2021
09/03/2022;122,33;"1,496 %";21/09/2021
18/04/2022;124,26;"1,509 %";21/09/2021
16/05/2022;232,09;"1,525 %";21/09/2021
15/08/2022;250,97;"1,546 %";21/09/2021
19/09/2022;400,51;"1,547 %";27/09/2021
17/10/2022;51,83;"1,597 %";21/09/2021
14/11/2022;20,42;"1,610 %";21/09/2021
15/05/2023;151,58;"1,690 %";21/09/2021
19/06/2023;154,02;"1,705 %";21/09/2021
20/11/2023;"2 404,48";"1,770 %";27/09/2021
15/04/2024;53,98;"1,814 %";21/09/2021
19/10/2026;198,47;"2,061 %";21/09/2021
16/06/2031;50,07;"2,365 %";21/09/2021
17/07/2034;139,65;"2,483 %";16/09/2021
16/07/2035;134,26;"2,562 %";17/09/2021
16/08/2038;87,81;"2,706 %";21/09/2021
19/02/2046;136,69;"3,025 %";21/09/2021
20/02/2051;19,40;"3,262 %";28/07/2021
Total;"5 316,33";;
