"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
20/04/2020;51,30;"2,295 %";27/02/2020
18/05/2020;443,21;"2,315 %";03/03/2020
06/06/2020;140,56;"2,317 %";03/03/2020
20/07/2020;253,00;"2,325 %";03/03/2020
15/02/2021;167,55;"2,333 %";03/03/2020
17/05/2021;500,73;"2,390 %";09/03/2020
19/07/2021;102,96;"2,396 %";03/03/2020
12/11/2021;82,22;"2,400 %";03/03/2020
09/03/2022;"1 279,66";"2,414 %";09/03/2020
03/04/2023;177,34;"2,430 %";03/03/2020
14/10/2024;158,51;"2,514 %";03/03/2020
02/06/2025;67,92;"2,534 %";03/03/2020
19/06/2028;99,59;"2,652 %";03/03/2020
18/06/2029;108,95;"2,689 %";03/03/2020
18/07/2031;265,40;"2,767 %";02/03/2020
17/07/2034;32,92;"2,921 %";28/02/2020
19/02/2035;106,09;"2,938 %";28/02/2020
16/08/2038;25,95;"3,095 %";11/02/2020
16/04/2040;41,09;"3,198 %";03/03/2020
14/02/2050;647,72;"3,798 %";03/03/2020
Total;"4 752,67";;
