"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
02/01/2023;150,14;"2,255 %";05/12/2022
27/02/2023;200,07;"2,657 %";05/12/2022
06/03/2023;"2 397,86";"2,643 %";05/12/2022
03/04/2023;166,70;"2,689 %";05/12/2022
15/05/2023;200,48;"2,693 %";05/12/2022
22/05/2023;301,03;"2,684 %";05/12/2022
05/08/2023;183,32;"2,827 %";05/12/2022
11/09/2023;371,29;"2,824 %";05/12/2022
15/01/2024;310,01;"2,947 %";05/12/2022
15/04/2024;144,49;"2,953 %";05/12/2022
17/06/2024;320,02;"2,958 %";05/12/2022
15/07/2024;529,42;"2,960 %";05/12/2022
16/09/2024;223,53;"2,966 %";05/12/2022
20/10/2025;88,59;"2,965 %";05/12/2022
17/05/2027;"2 553,75";"2,941 %";05/12/2022
14/06/2027;263,27;"2,941 %";05/12/2022
18/10/2027;"1 378,61";"2,939 %";05/12/2022
19/06/2028;153,22;"2,983 %";05/12/2022
16/04/2029;"1 337,48";"3,011 %";05/12/2022
18/06/2029;517,67;"3,011 %";05/12/2022
05/08/2030;"2 270,88";"3,081 %";05/12/2022
16/06/2031;862,99;"3,128 %";05/12/2022
18/07/2031;171,71;"3,132 %";05/12/2022
18/07/2033;105,50;"3,238 %";05/12/2022
16/08/2038;46,71;"3,434 %";05/12/2022
16/04/2040;114,40;"3,495 %";07/11/2022
19/02/2046;43,78;"3,533 %";29/11/2022
20/02/2051;124,04;"3,610 %";29/09/2022
Total;"15 530,96";;
