"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
17/11/2025;0,00;"2,070 %";23/09/2025
19/01/2026;0,00;"2,090 %";23/09/2025
14/09/2026;0,00;"2,140 %";23/09/2025
15/03/2027;0,00;"2,200 %";23/09/2025
15/04/2030;0,00;"2,370 %";23/09/2025
14/10/2030;0,00;"2,410 %";23/09/2025
18/06/2035;0,00;"2,720 %";23/09/2025
18/07/2039;0,00;"3,000 %";23/09/2025
14/08/2045;0,00;"3,290 %";23/09/2025
19/04/2055;0,00;"3,730 %";23/09/2025
Total;0,00;;
