"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
20/07/2020;533,93;"1,805 %";30/06/2020
05/09/2020;167,93;"1,805 %";02/07/2020
14/09/2020;85,50;"1,640 %";02/07/2020
14/11/2020;52,35;"1,537 %";02/07/2020
15/02/2021;50,80;"1,560 %";02/07/2020
18/10/2021;124,62;"1,783 %";02/07/2020
12/11/2021;143,15;"1,784 %";02/07/2020
16/05/2022;132,13;"1,778 %";02/07/2020
17/10/2022;155,90;"1,791 %";02/07/2020
14/04/2025;51,48;"2,006 %";02/07/2020
02/06/2025;30,33;"1,975 %";02/07/2020
20/10/2025;325,62;"2,067 %";02/07/2020
14/06/2027;31,01;"2,142 %";02/07/2020
16/04/2029;30,52;"2,299 %";02/07/2020
18/06/2029;141,26;"2,306 %";02/07/2020
18/07/2031;164,91;"2,480 %";02/07/2020
17/07/2034;334,40;"2,603 %";02/07/2020
16/08/2038;95,93;"2,781 %";01/07/2020
19/02/2046;55,28;"3,241 %";01/07/2020
14/02/2050;"2 241,18";"3,450 %";06/07/2020
Total;"4 948,23";;
