"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
14/11/2020;21,05;"1,500 %";02/11/2020
07/12/2020;144,11;"1,478 %";02/11/2020
02/01/2021;118,06;"1,540 %";05/11/2020
15/02/2021;159,69;"1,482 %";05/11/2020
13/09/2021;178,58;"1,670 %";05/11/2020
20/09/2021;179,75;"1,648 %";05/11/2020
12/11/2021;823,61;"1,705 %";05/11/2020
18/07/2022;306,08;"1,813 %";05/11/2020
15/08/2022;301,76;"1,825 %";05/11/2020
17/10/2022;305,25;"1,851 %";05/11/2020
14/11/2022;200,33;"1,862 %";05/11/2020
20/10/2025;70,36;"2,078 %";03/11/2020
15/06/2026;32,56;"2,127 %";03/11/2020
19/06/2028;32,51;"2,274 %";05/11/2020
16/04/2029;32,94;"2,300 %";05/11/2020
18/06/2029;38,01;"2,400 %";05/11/2020
05/08/2030;101,61;"2,464 %";05/11/2020
18/07/2031;116,47;"2,509 %";02/11/2020
18/07/2033;55,56;"2,652 %";02/11/2020
31/03/2034;46,12;"2,702 %";05/11/2020
16/07/2035;52,77;"2,733 %";05/11/2020
16/08/2038;290,13;"2,849 %";05/11/2020
19/02/2046;25,48;"3,218 %";02/11/2020
14/02/2050;79,14;"3,460 %";28/10/2020
Total;"3 711,93";;
