"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/07/2021;22,66;"1,386 %";16/06/2021
20/09/2021;51,04;"1,384 %";29/06/2021
12/11/2021;50,19;"1,420 %";28/06/2021
14/02/2022;52,85;"1,463 %";29/06/2021
18/04/2022;20,59;"1,492 %";29/06/2021
16/05/2022;308,08;"1,507 %";29/06/2021
15/08/2022;78,16;"1,583 %";29/06/2021
20/03/2023;91,63;"1,652 %";29/06/2021
15/05/2023;90,63;"1,673 %";29/06/2021
19/06/2023;194,61;"1,686 %";29/06/2021
18/09/2023;"1 079,89";"1,762 %";05/07/2021
16/10/2023;70,98;"1,717 %";29/06/2021
20/10/2025;83,54;"1,925 %";29/06/2021
19/10/2026;560,57;"2,019 %";29/06/2021
14/08/2028;54,37;"2,133 %";29/06/2021
16/06/2031;"1 047,29";"2,354 %";05/07/2021
18/07/2031;66,32;"2,350 %";25/06/2021
18/07/2033;116,37;"2,451 %";25/06/2021
17/07/2034;30,03;"2,514 %";28/06/2021
16/07/2035;110,69;"2,557 %";28/06/2021
16/04/2040;469,38;"2,765 %";29/06/2021
19/08/2041;100,80;"2,843 %";05/07/2021
20/02/2051;420,72;"3,265 %";05/07/2021
Total;"5 171,39";;
