"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/01/2026;0,00;"2,180 %";26/11/2025
16/03/2026;0,00;"2,260 %";26/11/2025
01/06/2026;0,00;"2,150 %";01/12/2025
15/03/2027;0,00;"2,430 %";26/11/2025
15/05/2028;0,00;"2,530 %";01/12/2025
14/04/2031;0,00;"2,700 %";26/11/2025
18/06/2035;0,00;"3,040 %";26/11/2025
18/07/2039;0,00;"3,250 %";26/11/2025
14/08/2045;0,00;"3,400 %";26/11/2025
19/04/2055;0,00;"3,850 %";26/11/2025
Total;0,00;;
