"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
16/05/2022;102,83;"1,580 %";05/04/2022
20/06/2022;30,48;"1,580 %";04/04/2022
18/07/2022;142,11;"1,578 %";01/04/2022
17/10/2022;20,37;"1,575 %";06/04/2022
16/01/2023;150,93;"1,612 %";06/04/2022
20/03/2023;150,70;"1,628 %";06/04/2022
18/03/2024;216,27;"1,820 %";06/04/2022
05/04/2024;233,32;"1,829 %";06/04/2022
15/04/2024;39,08;"1,835 %";06/04/2022
17/06/2024;97,48;"1,851 %";06/04/2022
15/07/2024;87,15;"1,860 %";06/04/2022
17/05/2027;129,80;"2,190 %";06/04/2022
16/06/2031;79,52;"2,380 %";06/04/2022
18/07/2031;85,57;"2,385 %";06/04/2022
17/07/2034;56,13;"2,564 %";06/04/2022
16/07/2035;232,36;"2,615 %";01/04/2022
16/04/2040;78,78;"2,820 %";04/04/2022
19/02/2046;104,79;"3,039 %";01/04/2022
20/02/2051;37,63;"3,225 %";30/03/2022
Total;"2 075,30";;
