"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
14/09/2020;20,49;"1,551 %";07/09/2020
17/10/2020;182,78;"1,550 %";07/09/2020
07/12/2020;32,76;"1,545 %";10/09/2020
15/02/2021;30,56;"1,590 %";08/09/2020
01/03/2021;29,91;"1,600 %";08/09/2020
15/03/2021;152,65;"1,590 %";10/09/2020
20/09/2021;719,86;"1,720 %";10/09/2020
09/03/2022;51,05;"1,786 %";10/09/2020
16/05/2022;50,96;"1,813 %";10/09/2020
18/07/2022;203,40;"1,838 %";10/09/2020
15/08/2022;300,79;"1,849 %";10/09/2020
16/10/2023;55,18;"1,935 %";10/09/2020
20/10/2025;509,93;"2,107 %";14/09/2020
05/08/2030;56,39;"2,444 %";10/09/2020
18/07/2033;56,39;"2,590 %";10/09/2020
31/03/2034;22,32;"2,581 %";01/09/2020
16/08/2038;217,07;"2,774 %";10/09/2020
19/02/2046;15,20;"3,253 %";31/08/2020
14/02/2050;49,20;"3,466 %";14/07/2020
Total;"2 756,89";;
