"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
17/11/2025;0,00;"2,160 %";30/09/2025
19/01/2026;0,00;"2,200 %";30/09/2025
14/09/2026;0,00;"2,230 %";30/09/2025
15/03/2027;0,00;"2,260 %";30/09/2025
15/04/2030;0,00;"2,440 %";30/09/2025
14/10/2030;0,00;"2,480 %";30/09/2025
18/06/2035;0,00;"2,760 %";30/09/2025
18/07/2039;0,00;"3,050 %";30/09/2025
14/08/2045;0,00;"3,290 %";30/09/2025
19/04/2055;0,00;"3,740 %";30/09/2025
Total;0,00;;
