"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
12/11/2021;296,75;"1,455 %";29/10/2021
17/01/2022;554,33;"1,453 %";29/10/2021
14/02/2022;40,71;"1,471 %";01/11/2021
18/04/2022;67,15;"1,504 %";01/11/2021
16/05/2022;50,83;"1,520 %";01/11/2021
18/07/2022;30,37;"1,547 %";01/11/2021
15/08/2022;70,39;"1,550 %";01/11/2021
17/10/2022;30,34;"1,580 %";01/11/2021
03/04/2023;97,67;"1,636 %";01/11/2021
19/06/2023;102,93;"1,670 %";01/11/2021
17/07/2023;95,93;"1,675 %";01/11/2021
14/04/2025;70,44;"1,920 %";01/11/2021
02/06/2025;117,60;"1,911 %";01/11/2021
20/04/2026;147,44;"1,961 %";29/10/2021
19/10/2026;145,60;"2,009 %";29/10/2021
14/06/2027;107,26;"2,047 %";29/10/2021
19/06/2028;21,71;"2,100 %";29/10/2021
18/06/2029;115,45;"2,173 %";01/11/2021
16/06/2031;"1 140,94";"2,295 %";01/11/2021
17/07/2034;59,02;"2,501 %";01/11/2021
04/12/2036;25,46;"2,619 %";01/11/2021
16/08/2038;21,40;"2,698 %";01/11/2021
16/04/2040;88,09;"2,770 %";01/11/2021
19/08/2041;101,88;"2,832 %";01/11/2021
19/02/2046;40,31;"3,029 %";01/11/2021
20/02/2051;106,46;"3,256 %";01/11/2021
Total;"3 746,46";;
