"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
17/06/2024;-;"2,990 %";04/06/2024
15/07/2024;-;"2,960 %";04/06/2024
16/09/2024;-;"3,060 %";31/05/2024
14/04/2025;-;"3,090 %";04/06/2024
02/06/2025;-;"3,110 %";04/06/2024
17/11/2025;-;"3,220 %";31/05/2024
17/04/2028;-;"3,360 %";31/05/2024
16/06/2031;-;"3,560 %";31/05/2024
18/09/2034;-;"3,780 %";04/06/2024
18/07/2039;-;"4,030 %";04/06/2024
15/08/2044;-;"4,230 %";04/06/2024
15/02/2055;-;"4,920 %";04/06/2024
Total;0,00;;
