"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
15/02/2021;48,19;"1,436 %";29/01/2021
19/04/2021;20,24;"1,436 %";26/01/2021
17/05/2021;30,77;"1,360 %";29/01/2021
19/07/2021;24,08;"1,430 %";29/01/2021
13/09/2021;212,17;"1,447 %";28/01/2021
18/10/2021;86,49;"1,485 %";28/01/2021
17/01/2022;140,91;"1,535 %";28/01/2021
14/02/2022;30,17;"1,570 %";29/01/2021
09/03/2022;37,08;"1,622 %";29/01/2021
20/03/2023;82,64;"1,696 %";29/01/2021
03/04/2023;49,62;"1,680 %";29/01/2021
20/10/2025;31,12;"1,900 %";29/01/2021
17/06/2030;139,88;"2,297 %";27/01/2021
18/07/2031;46,07;"2,382 %";26/01/2021
04/02/2036;31,26;"2,703 %";29/01/2021
04/12/2036;53,52;"2,703 %";29/01/2021
16/04/2040;553,84;"2,859 %";01/02/2021
19/02/2046;41,83;"3,112 %";29/01/2021
20/02/2051;231,93;"3,307 %";26/01/2021
Total;"1 891,81";;
