"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
17/07/2023;-;"3,000 %";24/05/2023
11/09/2023;-;"3,010 %";24/05/2023
19/02/2024;-;"3,220 %";24/05/2023
19/08/2024;-;"3,520 %";29/05/2023
16/09/2024;-;"3,530 %";24/05/2023
17/11/2025;-;"3,840 %";29/05/2023
17/06/2030;-;"4,290 %";24/05/2023
14/06/2032;-;"4,520 %";24/05/2023
14/07/2036;-;"4,820 %";24/05/2023
16/04/2040;-;"5,180 %";24/05/2023
20/02/2051;-;"5,640 %";24/05/2023
Total;0,00;;
