"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
20/06/2022;101,84;"1,580 %";31/05/2022
18/07/2022;76,09;"1,610 %";31/05/2022
22/08/2022;200,03;"1,600 %";31/05/2022
19/09/2022;121,41;"1,560 %";31/05/2022
17/10/2022;130,14;"1,593 %";31/05/2022
14/11/2022;194,16;"1,617 %";31/05/2022
05/12/2022;"1 200,00";"1,670 %";06/06/2022
20/03/2023;140,92;"1,701 %";31/05/2022
15/05/2023;102,21;"1,747 %";31/05/2022
22/05/2023;550,73;"1,756 %";31/05/2022
19/06/2023;73,42;"1,741 %";31/05/2022
18/09/2023;232,00;"1,767 %";31/05/2022
16/10/2023;307,39;"1,827 %";31/05/2022
20/11/2023;20,46;"1,837 %";31/05/2022
15/01/2024;152,81;"1,899 %";31/05/2022
18/03/2024;23,50;"1,969 %";31/05/2022
15/07/2024;235,30;"2,017 %";31/05/2022
16/09/2024;40,66;"2,030 %";31/05/2022
14/04/2025;86,48;"1,986 %";31/05/2022
20/04/2026;672,80;"2,180 %";31/05/2022
15/06/2026;25,52;"2,134 %";31/05/2022
19/10/2026;486,46;"2,244 %";31/05/2022
19/04/2027;21,94;"2,385 %";31/05/2022
17/05/2027;208,60;"2,268 %";31/05/2022
14/06/2027;94,76;"2,223 %";31/05/2022
16/04/2029;71,85;"2,254 %";31/05/2022
17/06/2030;155,16;"2,368 %";31/05/2022
18/07/2031;56,73;"2,420 %";31/05/2022
17/07/2034;780,94;"2,593 %";31/05/2022
16/07/2035;85,48;"2,627 %";31/05/2022
18/08/2036;32,40;"2,685 %";31/05/2022
16/04/2040;219,93;"2,875 %";31/05/2022
19/02/2046;27,51;"3,065 %";20/05/2022
20/02/2051;315,31;"3,220 %";20/05/2022
Total;"7 244,94";;
