"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
13/09/2021;79,31;"1,427 %";03/08/2021
18/10/2021;106,33;"1,427 %";20/07/2021
12/11/2021;71,37;"1,415 %";06/08/2021
18/04/2022;30,93;"1,523 %";06/08/2021
17/10/2022;134,14;"1,630 %";06/08/2021
20/03/2023;90,29;"1,698 %";06/08/2021
19/06/2023;286,74;"1,734 %";06/08/2021
17/07/2023;200,87;"1,751 %";06/08/2021
18/09/2023;149,89;"1,770 %";06/08/2021
16/10/2023;185,88;"1,781 %";06/08/2021
14/04/2025;51,40;"1,924 %";06/08/2021
20/10/2025;68,01;"1,965 %";06/08/2021
20/04/2026;151,97;"2,005 %";06/08/2021
15/06/2026;128,79;"2,010 %";06/08/2021
19/10/2026;270,30;"2,034 %";06/08/2021
14/08/2028;31,29;"2,145 %";06/08/2021
17/06/2030;62,52;"2,283 %";06/08/2021
05/08/2030;22,78;"2,274 %";06/08/2021
16/06/2031;50,05;"2,336 %";06/08/2021
31/03/2034;41,47;"2,481 %";06/08/2021
17/07/2034;628,62;"2,503 %";06/08/2021
16/07/2035;316,19;"2,550 %";06/08/2021
16/08/2038;430,90;"2,688 %";06/08/2021
19/02/2046;27,58;"3,033 %";29/07/2021
14/02/2050;34,89;"3,215 %";29/07/2021
20/02/2051;19,40;"3,262 %";28/07/2021
Total;"3 671,91";;
